iter	Passed	Remaining
0	141	141120
1	142	71186
2	145	48418
3	146	36548
4	148	29649
5	150	24861
6	151	21468
7	152	18887
8	153	16888
9	154	15281
10	155	14004
11	157	12948
12	158	12045
13	160	11283
14	162	10694
15	164	10129
16	166	9617
17	167	9131
18	168	8721
19	169	8322
20	170	7965
21	171	7645
22	172	7347
23	173	7075
24	175	6830
25	175	6588
26	177	6380
27	178	6183
28	178	5988
29	181	5868
30	182	5700
31	183	5551
32	184	5403
33	185	5260
34	185	5125
35	186	4997
36	187	4881
37	188	4766
38	189	4657
39	189	4555
40	190	4461
41	191	4368
42	192	4278
43	193	4198
44	194	4126
45	195	4047
46	196	3981
47	197	3911
48	199	3865
49	199	3798
50	201	3740
51	201	3678
52	202	3624
53	203	3569
54	204	3513
55	205	3459
56	205	3407
57	207	3362
58	207	3314
59	208	3268
60	209	3223
61	210	3182
62	211	3139
63	211	3098
64	213	3076
65	214	3040
66	215	3002
67	216	2967
68	217	2939
69	218	2904
70	219	2871
71	220	2839
72	221	2806
73	221	2775
74	222	2745
75	223	2716
76	224	2687
77	224	2658
78	225	2630
79	226	2603
80	227	2581
81	228	2555
82	228	2526
83	229	2505
84	230	2485
85	231	2461
86	232	2437
87	233	2417
88	234	2405
89	236	2393
90	237	2373
91	238	2354
92	239	2333
93	240	2317
94	241	2299
95	242	2281
96	243	2263
97	243	2244
98	244	2226
99	245	2208
100	246	2190
101	247	2176
102	248	2161
103	249	2145
104	249	2129
105	250	2113
106	251	2097
107	252	2081
108	253	2072
109	254	2061
110	255	2046
111	256	2035
112	257	2020
113	258	2006
114	258	1992
115	259	1978
116	260	1966
117	261	1953
118	262	1941
119	263	1929
120	263	1916
121	264	1902
122	265	1890
123	265	1878
124	266	1866
125	267	1855
126	268	1842
127	268	1831
128	269	1822
129	270	1812
130	272	1807
131	273	1800
132	274	1790
133	275	1783
134	276	1774
135	277	1764
136	278	1753
137	279	1743
138	280	1736
139	281	1727
140	282	1718
141	283	1710
142	284	1702
143	284	1692
144	285	1683
145	286	1674
146	287	1667
147	288	1659
148	289	1652
149	291	1650
150	292	1642
151	293	1634
152	293	1627
153	295	1621
154	295	1613
155	296	1605
156	297	1597
157	298	1589
158	299	1581
159	299	1573
160	300	1564
161	301	1557
162	301	1549
163	303	1544
164	303	1537
165	304	1530
166	305	1522
167	305	1515
168	307	1510
169	307	1503
170	310	1503
171	311	1498
172	312	1491
173	312	1485
174	314	1480
175	314	1474
176	315	1467
177	316	1462
178	317	1455
179	318	1449
180	318	1442
181	319	1436
182	320	1430
183	321	1423
184	321	1417
185	322	1411
186	323	1407
187	324	1401
188	325	1397
189	327	1395
190	328	1391
191	329	1386
192	330	1381
193	331	1375
194	331	1369
195	332	1364
196	333	1358
197	334	1353
198	334	1347
199	335	1342
200	336	1338
201	337	1333
202	338	1327
203	339	1323
204	340	1319
205	341	1315
206	342	1312
207	343	1307
208	344	1301
209	344	1296
210	345	1291
211	347	1291
212	348	1287
213	350	1286
214	351	1282
215	353	1281
216	353	1277
217	354	1272
218	355	1267
219	356	1264
220	357	1260
221	358	1255
222	358	1250
223	359	1245
224	360	1242
225	361	1238
226	362	1233
227	363	1229
228	368	1240
229	370	1240
230	372	1238
231	372	1234
232	373	1229
233	374	1225
234	375	1221
235	375	1216
236	376	1213
237	377	1209
238	378	1204
239	379	1200
240	380	1197
241	381	1193
242	381	1189
243	382	1185
244	386	1189
245	387	1188
246	389	1187
247	390	1185
248	391	1181
249	392	1177
250	393	1174
251	394	1170
252	395	1167
253	396	1164
254	397	1162
255	398	1158
256	407	1177
257	409	1177
258	410	1174
259	412	1173
260	413	1170
261	414	1167
262	415	1165
263	416	1161
264	418	1160
265	419	1157
266	420	1154
267	421	1150
268	428	1164
269	429	1162
270	430	1159
271	432	1157
272	433	1154
273	434	1150
274	435	1147
275	436	1143
276	437	1141
277	439	1141
278	440	1139
279	451	1161
280	453	1160
281	454	1157
282	455	1154
283	456	1151
284	457	1148
285	458	1145
286	468	1162
287	469	1160
288	470	1158
289	471	1155
290	473	1154
291	475	1152
292	476	1149
293	477	1147
294	478	1144
295	487	1159
296	488	1156
297	489	1153
298	490	1151
299	491	1147
300	493	1145
301	494	1143
302	496	1143
303	498	1140
304	501	1143
305	505	1145
306	508	1146
307	509	1144
308	510	1140
309	511	1137
310	512	1135
311	513	1132
312	514	1129
313	515	1127
314	516	1124
315	527	1140
316	529	1140
317	530	1137
318	531	1134
319	532	1131
320	533	1128
321	534	1125
322	536	1124
323	537	1121
324	545	1133
325	548	1133
326	549	1131
327	550	1128
328	551	1125
329	552	1122
330	553	1119
331	555	1117
332	556	1115
333	566	1130
334	567	1127
335	568	1124
336	570	1122
337	571	1119
338	573	1118
339	575	1116
340	585	1130
341	586	1128
342	588	1126
343	589	1124
344	590	1121
345	592	1119
346	593	1117
347	594	1114
348	595	1111
349	605	1123
350	606	1121
351	607	1118
352	608	1115
353	609	1111
354	610	1108
355	611	1105
356	612	1102
357	612	1099
358	613	1095
359	614	1092
360	615	1090
361	620	1093
362	622	1091
363	623	1088
364	624	1086
365	625	1083
366	626	1080
367	627	1077
368	628	1074
369	629	1071
370	630	1069
371	631	1066
372	632	1063
373	633	1060
374	634	1058
375	639	1061
376	641	1060
377	643	1058
378	644	1055
379	645	1053
380	646	1050
381	647	1047
382	649	1045
383	650	1043
384	651	1041
385	653	1039
386	657	1042
387	659	1040
388	661	1038
389	662	1036
390	663	1033
391	664	1030
392	665	1028
393	666	1025
394	668	1023
395	669	1021
396	670	1018
397	671	1016
398	675	1017
399	680	1020
400	681	1018
401	683	1016
402	684	1013
403	686	1012
404	687	1010
405	688	1007
406	690	1005
407	691	1002
408	696	1005
409	698	1005
410	700	1003
411	701	1000
412	702	997
413	703	995
414	704	993
415	705	991
416	706	988
417	707	985
418	709	983
419	710	980
420	714	982
421	716	981
422	717	979
423	718	976
424	719	973
425	720	971
426	721	968
427	723	966
428	725	966
429	727	964
430	728	961
431	729	958
432	735	962
433	737	961
434	738	959
435	739	957
436	741	954
437	742	952
438	743	950
439	744	947
440	745	945
441	747	943
442	748	941
443	749	938
444	752	938
445	754	937
446	755	934
447	756	932
448	758	930
449	759	928
450	760	925
451	761	923
452	762	920
453	763	918
454	765	916
455	772	920
456	773	918
457	773	915
458	774	913
459	776	911
460	776	908
461	778	906
462	779	903
463	780	901
464	780	898
465	782	896
466	782	893
467	783	890
468	790	894
469	792	893
470	793	890
471	794	888
472	794	885
473	795	883
474	796	880
475	797	877
476	798	875
477	799	872
478	800	870
479	801	867
480	802	865
481	803	863
482	803	860
483	809	862
484	810	860
485	810	857
486	812	855
487	812	852
488	813	850
489	814	847
490	815	845
491	816	842
492	816	840
493	818	837
494	818	835
495	819	832
496	820	830
497	821	828
498	822	825
499	827	827
500	829	826
501	830	823
502	831	821
503	832	819
504	833	817
505	834	814
506	835	812
507	836	810
508	837	807
509	838	805
510	840	803
511	841	801
512	847	804
513	848	802
514	849	800
515	851	798
516	851	795
517	853	793
518	854	791
519	855	789
520	855	786
521	856	784
522	857	782
523	858	779
524	859	777
525	863	778
526	865	777
527	866	774
528	867	772
529	868	770
530	869	767
531	869	765
532	870	762
533	871	760
534	872	757
535	872	755
536	873	753
537	874	750
538	875	748
539	875	746
540	876	743
541	878	741
542	879	740
543	881	739
544	882	736
545	884	735
546	886	733
547	887	732
548	889	730
549	891	729
550	893	727
551	894	726
552	902	729
553	904	728
554	906	726
555	907	724
556	910	724
557	911	722
558	918	724
559	919	722
560	920	720
561	921	718
562	922	716
563	924	714
564	925	712
565	927	710
566	928	708
567	930	707
568	935	708
569	936	706
570	937	704
571	939	702
572	940	700
